ingredient_name,quantity,expiry_date,category,daily_consumption,supplier,wastage_history,storage_type,days_to_expiry,stock_duration_days,waste_risk_ratio,is_waste_risk
Yogurt,9.24,2026-06-02,Dairy,1.87,AgroFresh,0.77,Refrigerated,2.0,4.9411764705882355,2.4705882352941178,1
Potatoes,35.16,2026-06-07,Produce,7.36,Local Mandi,1.49,Refrigerated,7.0,4.777173913043478,0.6824534161490682,0
Prawns,8.25,2026-06-03,Meat,8.61,Prime Meats,1.86,Frozen,3.0,0.9581881533101045,0.31939605110336816,0
Rice,1.32,2026-11-16,Dry Pantry,6.57,Prime Meats,0.87,Ambient,169.0,0.2009132420091324,0.0011888357515333278,0
Mutton,49.85,2026-06-05,Meat,4.64,AgroFresh,2.35,Frozen,5.0,10.743534482758621,2.148706896551724,1
Spinach,49.1,2026-06-10,Produce,7.99,Prime Meats,3.67,Refrigerated,10.0,6.145181476846058,0.6145181476846058,0
Rice,16.59,2027-01-11,Dry Pantry,4.99,Prime Meats,4.94,Ambient,225.0,3.324649298597194,0.014776219104876418,0
Chicken Breast,27.19,2026-05-31,Meat,3.84,AgroFresh,0.68,Frozen,0.0,7.080729166666667,70.80729166666667,1
Mutton,8.94,2026-06-01,Meat,9.38,Local Mandi,4.74,Frozen,1.0,0.9530916844349678,0.9530916844349678,1
Cheese,4.93,2026-05-31,Dairy,7.63,AgroFresh,1.33,Refrigerated,0.0,0.6461336828309305,6.461336828309305,1
Milk,41.92,2026-05-29,Dairy,1.73,Metro Wholesale,0.54,Refrigerated,-2.0,24.23121387283237,-12.115606936416185,1
Cream,19.73,2026-06-07,Dairy,9.63,Metro Wholesale,2.09,Refrigerated,7.0,2.0488058151609554,0.2926865450229936,0
Yogurt,34.16,2026-06-09,Dairy,1.76,AgroFresh,2.3,Refrigerated,9.0,19.409090909090907,2.156565656565656,1
Sugar,6.6,2027-02-19,Dry Pantry,3.84,DairyCo,0.86,Ambient,264.0,1.71875,0.006510416666666667,0
Milk,49.86,2026-06-08,Dairy,2.38,Prime Meats,4.05,Refrigerated,8.0,20.949579831932773,2.6186974789915967,1
Fish Fillet,45.79,2026-06-03,Meat,0.77,DairyCo,2.82,Frozen,3.0,59.467532467532465,19.82251082251082,1
Fish Fillet,38.3,2026-06-04,Meat,4.1,Local Mandi,4.17,Frozen,4.0,9.341463414634147,2.3353658536585367,1
Fish Fillet,36.89,2026-06-07,Meat,3.12,DairyCo,0.8,Frozen,7.0,11.823717948717949,1.689102564102564,1
Spinach,11.31,2026-06-13,Produce,8.96,Local Mandi,4.4,Refrigerated,13.0,1.2622767857142856,0.09709821428571427,0
Sugar,23.87,2027-03-11,Dry Pantry,8.85,AgroFresh,0.45,Ambient,284.0,2.697175141242938,0.009497095567756823,0
Yogurt,48.05,,Dairy,1.44,Metro Wholesale,3.13,Refrigerated,4.0,33.36805555555556,8.34201388888889,1
Beef,41.26,2026-06-07,Meat,8.13,Metro Wholesale,2.2,Frozen,7.0,5.075030750307502,0.7250043929010718,0
Prawns,4.87,,Meat,9.61,DairyCo,1.22,Frozen,3.0,0.5067637877211238,0.16892126257370796,0
Prawns,13.51,2026-06-05,Meat,0.59,Local Mandi,3.39,Frozen,5.0,22.898305084745765,4.579661016949153,1
Sugar,38.15,2027-05-26,Dry Pantry,7.06,Prime Meats,2.24,Ambient,360.0,5.403682719546742,0.015010229776518728,0
Prawns,39.27,2026-06-07,Meat,9.42,DairyCo,4.83,Frozen,7.0,4.1687898089171975,0.5955414012738853,0
Cream,3.47,2026-06-10,Dairy,9.49,Prime Meats,4.81,Refrigerated,10.0,0.36564805057955746,0.03656480505795574,0
Spinach,16.28,2026-06-05,Produce,4.83,DairyCo,2.41,Refrigerated,5.0,3.370600414078675,0.674120082815735,0
Carrots,15.78,2026-06-11,Produce,9.24,Prime Meats,3.84,Refrigerated,11.0,1.7077922077922076,0.15525383707201887,0
Lentils,35.21,2026-08-23,Dry Pantry,2.26,Metro Wholesale,4.17,Ambient,84.0,15.579646017699117,0.18547197640117996,0
Yogurt,2.26,2026-06-08,Dairy,3.46,Prime Meats,1.98,Refrigerated,8.0,0.653179190751445,0.08164739884393063,0
Chicken Breast,16.19,2026-06-01,Meat,5.36,Metro Wholesale,2.68,Frozen,1.0,3.0205223880597014,3.0205223880597014,1
Beef,1.8,2026-06-02,Meat,1.78,AgroFresh,1.5,Frozen,2.0,1.0112359550561798,0.5056179775280899,0
Lentils,5.0,2026-10-14,Dry Pantry,5.59,Prime Meats,1.54,Ambient,136.0,0.8944543828264758,0.006576870461959381,0
Prawns,24.8,2026-06-04,Meat,4.19,Metro Wholesale,4.2,Frozen,4.0,5.918854415274462,1.4797136038186156,1
Lentils,28.86,2026-07-23,Dry Pantry,5.73,DairyCo,0.54,Ambient,53.0,5.036649214659685,0.0950311172577299,0
Prawns,37.99,2026-06-06,Meat,4.43,Prime Meats,0.89,Frozen,6.0,8.575620767494359,1.4292701279157265,1
Sugar,6.01,2027-01-07,Dry Pantry,5.36,DairyCo,3.24,Ambient,221.0,1.1212686567164178,0.005073613831296008,0
